STATE,YEAR,MONTH_NAME,EVENT_TYPE
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
ALASKA,2001,January  ,Avalanche
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
CALIFORNIA,2001,January  ,High Wind
CALIFORNIA,2001,January  ,High Wind
NORTH CAROLINA,2001,January  ,Heavy Snow
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
NORTH CAROLINA,2001,January  ,Heavy Snow
NORTH CAROLINA,2001,January  ,Heavy Snow
MONTANA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
ALASKA,2001,January  ,High Wind
WEST VIRGINIA,2001,January  ,Extreme Cold/Wind Chill
FLORIDA,2001,January  ,Frost/Freeze
WEST VIRGINIA,2001,January  ,Extreme Cold/Wind Chill
WEST VIRGINIA,2001,January  ,Extreme Cold/Wind Chill
OHIO,2001,January  ,Extreme Cold/Wind Chill
WEST VIRGINIA,2001,January  ,Extreme Cold/Wind Chill
WEST VIRGINIA,2001,January  ,Extreme Cold/Wind Chill
FLORIDA,2001,January  ,Frost/Freeze
CALIFORNIA,2001,January  ,High Wind
CALIFORNIA,2001,January  ,Dense Fog
CALIFORNIA,2001,January  ,Dense Fog
CALIFORNIA,2001,January  ,Dense Fog
CALIFORNIA,2001,January  ,Dense Fog
ALASKA,2001,January  ,High Wind
FLORIDA,2001,January  ,Frost/Freeze
CALIFORNIA,2001,January  ,Wildfire
FLORIDA,2001,January  ,Frost/Freeze
OREGON,2001,January  ,High Wind
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
CALIFORNIA,2001,January  ,High Wind
CALIFORNIA,2001,January  ,Wildfire
CALIFORNIA,2001,January  ,Wildfire
CALIFORNIA,2001,January  ,Wildfire
CALIFORNIA,2001,January  ,Wildfire
GUAM,2001,January  ,Rip Current
ALASKA,2001,January  ,High Wind
GUAM,2001,January  ,Rip Current
NEW YORK,2001,January  ,Lake-Effect Snow
NEW YORK,2001,January  ,Lake-Effect Snow
FLORIDA,2001,January  ,Frost/Freeze
MONTANA,2001,January  ,High Wind
MONTANA,2001,January  ,High Wind
MONTANA,2001,January  ,High Wind
MONTANA,2001,January  ,High Wind
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
MONTANA,2001,January  ,High Wind
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
MONTANA,2001,January  ,High Wind
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
HAWAII,2001,January  ,High Surf
SOUTH DAKOTA,2001,January  ,High Wind
SOUTH DAKOTA,2001,January  ,High Wind
HAWAII,2001,January  ,High Surf
SOUTH DAKOTA,2001,January  ,High Wind
SOUTH DAKOTA,2001,January  ,High Wind
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Extreme Cold/Wind Chill
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
PENNSYLVANIA,2001,January  ,Heavy Snow
FLORIDA,2001,January  ,Extreme Cold/Wind Chill
FLORIDA,2001,January  ,Extreme Cold/Wind Chill
MONTANA,2001,January  ,High Wind
OHIO,2001,January  ,Heavy Snow
FLORIDA,2001,January  ,Frost/Freeze
OHIO,2001,January  ,Heavy Snow
MARYLAND,2001,January  ,Winter Weather
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
MARYLAND,2001,January  ,Winter Weather
MARYLAND,2001,January  ,Winter Weather
MARYLAND,2001,January  ,Winter Weather
MARYLAND,2001,January  ,Winter Weather
MARYLAND,2001,January  ,Winter Weather
MARYLAND,2001,January  ,Winter Weather
MARYLAND,2001,January  ,Winter Weather
MARYLAND,2001,January  ,Winter Weather
MARYLAND,2001,January  ,Winter Weather
MARYLAND,2001,January  ,Winter Weather
VIRGINIA,2001,January  ,Winter Weather
FLORIDA,2001,January  ,Frost/Freeze
MONTANA,2001,January  ,High Wind
VIRGINIA,2001,January  ,Winter Weather
VIRGINIA,2001,January  ,Winter Weather
VIRGINIA,2001,January  ,Winter Weather
VIRGINIA,2001,January  ,Winter Weather
VIRGINIA,2001,January  ,Winter Weather
VIRGINIA,2001,January  ,Winter Weather
VIRGINIA,2001,January  ,Winter Weather
WEST VIRGINIA,2001,January  ,Winter Weather
WEST VIRGINIA,2001,January  ,Winter Weather
WEST VIRGINIA,2001,January  ,Winter Weather
WEST VIRGINIA,2001,January  ,Winter Weather
WEST VIRGINIA,2001,January  ,Winter Weather
WEST VIRGINIA,2001,January  ,Winter Weather
PENNSYLVANIA,2001,January  ,Heavy Snow
NEW YORK,2001,January  ,Heavy Snow
NEW YORK,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
MARYLAND,2001,January  ,Heavy Snow
MARYLAND,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
MARYLAND,2001,January  ,Heavy Snow
MARYLAND,2001,January  ,Heavy Snow
MARYLAND,2001,January  ,Heavy Snow
DELAWARE,2001,January  ,Heavy Snow
DELAWARE,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
DELAWARE,2001,January  ,Heavy Snow
MONTANA,2001,January  ,High Wind
PENNSYLVANIA,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
PENNSYLVANIA,2001,January  ,Heavy Snow
MICHIGAN,2001,January  ,Heavy Snow
MONTANA,2001,January  ,High Wind
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
NEW JERSEY,2001,January  ,Heavy Snow
MONTANA,2001,January  ,High Wind
